t =     0.0750
           x          rho            u            p
    -1.00000      0.00001    -13.82787      0.00000
    -0.99800      0.00001    -13.80562      0.00000
    -0.99600      0.00001    -13.78338      0.00000
    -0.99399      0.00001    -13.76113      0.00000
    -0.99199      0.00001    -13.73889      0.00000
    -0.98999      0.00001    -13.71665      0.00000
    -0.98799      0.00001    -13.69440      0.00000
    -0.98599      0.00001    -13.67216      0.00000
    -0.98398      0.00001    -13.64991      0.00000
    -0.98198      0.00001    -13.62767      0.00000
    -0.97998      0.00001    -13.60542      0.00000
    -0.97798      0.00001    -13.58318      0.00000
    -0.97598      0.00001    -13.56093      0.00000
    -0.97397      0.00001    -13.53869      0.00000
    -0.97197      0.00002    -13.51644      0.00000
    -0.96997      0.00002    -13.49420      0.00000
    -0.96797      0.00002    -13.47196      0.00000
    -0.96597      0.00002    -13.44971      0.00000
    -0.96396      0.00002    -13.42747      0.00000
    -0.96196      0.00002    -13.40522      0.00000
    -0.95996      0.00002    -13.38298      0.00000
    -0.95796      0.00002    -13.36073      0.00001
    -0.95596      0.00002    -13.33849      0.00001
    -0.95395      0.00002    -13.31624      0.00001
    -0.95195      0.00002    -13.29400      0.00001
    -0.94995      0.00002    -13.27176      0.00001
    -0.94795      0.00002    -13.24951      0.00001
    -0.94595      0.00003    -13.22727      0.00001
    -0.94394      0.00003    -13.20502      0.00001
    -0.94194      0.00003    -13.18278      0.00001
    -0.93994      0.00003    -13.16053      0.00001
    -0.93794      0.00003    -13.13829      0.00001
    -0.93594      0.00003    -13.11604      0.00001
    -0.93393      0.00003    -13.09380      0.00001
    -0.93193      0.00003    -13.07156      0.00001
    -0.92993      0.00003    -13.04931      0.00001
    -0.92793      0.00003    -13.02707      0.00001
    -0.92593      0.00004    -13.00482      0.00001
    -0.92392      0.00004    -12.98258      0.00001
    -0.92192      0.00004    -12.96033      0.00001
    -0.91992      0.00004    -12.93809      0.00001
    -0.91792      0.00004    -12.91584      0.00001
    -0.91592      0.00004    -12.89360      0.00001
    -0.91391      0.00004    -12.87136      0.00001
    -0.91191      0.00005    -12.84911      0.00002
    -0.90991      0.00005    -12.82687      0.00002
    -0.90791      0.00005    -12.80462      0.00002
    -0.90591      0.00005    -12.78238      0.00002
    -0.90390      0.00005    -12.76013      0.00002
    -0.90190      0.00005    -12.73789      0.00002
    -0.89990      0.00005    -12.71564      0.00002
    -0.89790      0.00006    -12.69340      0.00002
    -0.89590      0.00006    -12.67116      0.00002
    -0.89389      0.00006    -12.64891      0.00002
    -0.89189      0.00006    -12.62667      0.00002
    -0.88989      0.00006    -12.60442      0.00002
    -0.88789      0.00007    -12.58218      0.00003
    -0.88589      0.00007    -12.55993      0.00003
    -0.88388      0.00007    -12.53769      0.00003
    -0.88188      0.00007    -12.51544      0.00003
    -0.87988      0.00007    -12.49320      0.00003
    -0.87788      0.00008    -12.47095      0.00003
    -0.87588      0.00008    -12.44871      0.00003
    -0.87387      0.00008    -12.42647      0.00003
    -0.87187      0.00008    -12.40422      0.00004
