t =     0.1000
           x          rho            u            p
    -1.00000      0.00037    -11.05009      0.00029
    -0.99800      0.00038    -11.03341      0.00030
    -0.99600      0.00038    -11.01672      0.00030
    -0.99399      0.00039    -11.00004      0.00031
    -0.99199      0.00039    -10.98336      0.00032
    -0.98999      0.00040    -10.96667      0.00033
    -0.98799      0.00041    -10.94999      0.00033
    -0.98599      0.00041    -10.93331      0.00034
    -0.98398      0.00042    -10.91662      0.00035
    -0.98198      0.00043    -10.89994      0.00035
    -0.97998      0.00043    -10.88326      0.00036
    -0.97798      0.00044    -10.86657      0.00037
    -0.97598      0.00045    -10.84989      0.00038
    -0.97397      0.00045    -10.83321      0.00039
    -0.97197      0.00046    -10.81652      0.00039
    -0.96997      0.00047    -10.79984      0.00040
    -0.96797      0.00047    -10.78316      0.00041
    -0.96597      0.00048    -10.76647      0.00042
    -0.96396      0.00049    -10.74979      0.00043
    -0.96196      0.00050    -10.73311      0.00044
    -0.95996      0.00050    -10.71642      0.00045
    -0.95796      0.00051    -10.69974      0.00046
    -0.95596      0.00052    -10.68306      0.00047
    -0.95395      0.00053    -10.66637      0.00048
    -0.95195      0.00053    -10.64969      0.00049
    -0.94995      0.00054    -10.63301      0.00050
    -0.94795      0.00055    -10.61632      0.00051
    -0.94595      0.00056    -10.59964      0.00052
    -0.94394      0.00057    -10.58296      0.00053
    -0.94194      0.00057    -10.56627      0.00054
    -0.93994      0.00058    -10.54959      0.00055
    -0.93794      0.00059    -10.53291      0.00056
    -0.93594      0.00060    -10.51622      0.00057
    -0.93393      0.00061    -10.49954      0.00059
    -0.93193      0.00062    -10.48286      0.00060
    -0.92993      0.00063    -10.46617      0.00061
    -0.92793      0.00064    -10.44949      0.00062
    -0.92593      0.00064    -10.43281      0.00063
    -0.92392      0.00065    -10.41612      0.00065
    -0.92192      0.00066    -10.39944      0.00066
    -0.91992      0.00067    -10.38276      0.00067
    -0.91792      0.00068    -10.36607      0.00069
    -0.91592      0.00069    -10.34939      0.00070
    -0.91391      0.00070    -10.33271      0.00071
    -0.91191      0.00071    -10.31602      0.00073
    -0.90991      0.00072    -10.29934      0.00074
    -0.90791      0.00073    -10.28266      0.00076
    -0.90591      0.00074    -10.26597      0.00077
    -0.90390      0.00075    -10.24929      0.00079
    -0.90190      0.00076    -10.23261      0.00080
    -0.89990      0.00077    -10.21592      0.00082
    -0.89790      0.00078    -10.19924      0.00083
    -0.89590      0.00079    -10.18256      0.00085
    -0.89389      0.00080    -10.16587      0.00087
    -0.89189      0.00082    -10.14919      0.00088
    -0.88989      0.00083    -10.13251      0.00090
    -0.88789      0.00084    -10.11582      0.00092
    -0.88589      0.00085    -10.09914      0.00093
    -0.88388      0.00086    -10.08246      0.00095
    -0.88188      0.00087    -10.06577      0.00097
    -0.87988      0.00088    -10.04909      0.00099
    -0.87788      0.00090    -10.03241      0.00101
    -0.87588      0.00091    -10.01572      0.00103
    -0.87387      0.00092     -9.99904      0.00104
    -0.87187      0.00093     -9.98236      0.00106
    -0.86987      0.00095     -9.96567      0.00108
    -0.86787      0.00096     -9.94899      0.00110
    -0.86587      0.00097     -9.93231      0.00112
    -0.86386      0.00098     -9.91562      0.00115
