t =     0.0250
           x          rho            u            p
    -1.00000      1.00000      0.00000   1000.00000
    -0.99800      1.00000      0.00000   1000.00000
    -0.99600      1.00000      0.00000   1000.00000
    -0.99399      1.00000      0.00000   1000.00000
    -0.99199      1.00000      0.00000   1000.00000
    -0.98999      1.00000      0.00000   1000.00000
    -0.98799      1.00000      0.00000   1000.00000
    -0.98599      1.00000      0.00000   1000.00000
    -0.98398      1.00000      0.00000   1000.00000
    -0.98198      1.00000      0.00000   1000.00000
    -0.97998      1.00000      0.00000   1000.00000
    -0.97798      1.00000      0.00000   1000.00000
    -0.97598      1.00000      0.00000   1000.00000
    -0.97397      1.00000      0.00000   1000.00000
    -0.97197      1.00000      0.00000   1000.00000
    -0.96997      1.00000      0.00000   1000.00000
    -0.96797      1.00000      0.00000   1000.00000
    -0.96597      1.00000      0.00000   1000.00000
    -0.96396      1.00000      0.00000   1000.00000
    -0.96196      1.00000      0.00000   1000.00000
    -0.95996      1.00000      0.00000   1000.00000
    -0.95796      1.00000      0.00000   1000.00000
    -0.95596      1.00000      0.00000   1000.00000
    -0.95395      1.00000      0.00000   1000.00000
    -0.95195      1.00000      0.00000   1000.00000
    -0.94995      1.00000      0.00000   1000.00000
    -0.94795      1.00000      0.00000   1000.00000
    -0.94595      1.00000      0.00000   1000.00000
    -0.94394      1.00000      0.00000   1000.00000
    -0.94194      1.00000      0.00000   1000.00000
    -0.93994      1.00000      0.00000   1000.00000
    -0.93794      1.00000      0.00000   1000.00000
    -0.93594      1.00000      0.00000   1000.00000
    -0.93393      0.99868      0.04935    998.15506
    -0.93193      0.99690      0.11608    995.66474
    -0.92993      0.99512      0.18281    993.17975
    -0.92793      0.99335      0.24955    990.70008
    -0.92593      0.99158      0.31628    988.22571
    -0.92392      0.98981      0.38301    985.75665
    -0.92192      0.98804      0.44975    983.29287
    -0.91992      0.98627      0.51648    980.83437
    -0.91792      0.98451      0.58321    978.38115
    -0.91592      0.98275      0.64995    975.93318
    -0.91391      0.98099      0.71668    973.49047
    -0.91191      0.97924      0.78341    971.05300
    -0.90991      0.97748      0.85015    968.62076
    -0.90791      0.97573      0.91688    966.19375
    -0.90591      0.97399      0.98361    963.77195
    -0.90390      0.97224      1.05035    961.35535
    -0.90190      0.97050      1.11708    958.94395
    -0.89990      0.96876      1.18381    956.53774
    -0.89790      0.96702      1.25055    954.13671
    -0.89590      0.96529      1.31728    951.74084
    -0.89389      0.96355      1.38402    949.35013
