t =     0.0500
           x          rho            u            p
    -1.00000      5.99924     19.59750    460.89400
    -0.99800      5.99924     19.59750    460.89400
    -0.99600      5.99924     19.59750    460.89400
    -0.99399      5.99924     19.59750    460.89400
    -0.99199      5.99924     19.59750    460.89400
    -0.98999      5.99924     19.59750    460.89400
    -0.98799      5.99924     19.59750    460.89400
    -0.98599      5.99924     19.59750    460.89400
    -0.98398      5.99924     19.59750    460.89400
    -0.98198      5.99924     19.59750    460.89400
    -0.97998      5.99924     19.59750    460.89400
    -0.97798      5.99924     19.59750    460.89400
    -0.97598      5.99924     19.59750    460.89400
    -0.97397      5.99924     19.59750    460.89400
    -0.97197      5.99924     19.59750    460.89400
    -0.96997      5.99924     19.59750    460.89400
    -0.96797      5.99924     19.59750    460.89400
    -0.96597      5.99924     19.59750    460.89400
    -0.96396      5.99924     19.59750    460.89400
    -0.96196      5.99924     19.59750    460.89400
    -0.95996      5.99924     19.59750    460.89400
    -0.95796      5.99924     19.59750    460.89400
    -0.95596      5.99924     19.59750    460.89400
    -0.95395      5.99924     19.59750    460.89400
    -0.95195      5.99924     19.59750    460.89400
    -0.94995      5.99924     19.59750    460.89400
    -0.94795      5.99924     19.59750    460.89400
    -0.94595      5.99924     19.59750    460.89400
    -0.94394      5.99924     19.59750    460.89400
    -0.94194      5.99924     19.59750    460.89400
    -0.93994      5.99924     19.59750    460.89400
    -0.93794      5.99924     19.59750    460.89400
    -0.93594      5.99924     19.59750    460.89400
    -0.93393      5.99924     19.59750    460.89400
    -0.93193      5.99924     19.59750    460.89400
    -0.92993      5.99924     19.59750    460.89400
    -0.92793      5.99924     19.59750    460.89400
    -0.92593      5.99924     19.59750    460.89400
    -0.92392      5.99924     19.59750    460.89400
    -0.92192      5.99924     19.59750    460.89400
    -0.91992      5.99924     19.59750    460.89400
    -0.91792      5.99924     19.59750    460.89400
    -0.91592      5.99924     19.59750    460.89400
    -0.91391      5.99924     19.59750    460.89400
    -0.91191      5.99924     19.59750    460.89400
    -0.90991      5.99924     19.59750    460.89400
    -0.90791      5.99924     19.59750    460.89400
    -0.90591      5.99924     19.59750    460.89400
    -0.90390      5.99924     19.59750    460.89400
    -0.90190      5.99924     19.59750    460.89400
    -0.89990      5.99924     19.59750    460.89400
    -0.89790      5.99924     19.59750    460.89400
    -0.89590      5.99924     19.59750    460.89400
    -0.89389      5.99924     19.59750    460.89400
    -0.89189      5.99924     19.59750    460.89400
    -0.88989      5.99924     19.59750    460.89400
    -0.88789      5.99924     19.59750    460.89400
    -0.88589      5.99924     19.59750    460.89400
    -0.88388      5.99924     19.59750    460.89400
    -0.88188      5.99924     19.59750    460.89400
    -0.87988      5.99924     19.59750    460.89400
    -0.87788      5.99924     19.59750    460.89400
    -0.87588      5.99924     19.59750    460.89400
    -0.87387      5.99924     19.59750    460.89400
    -0.87187      5.99924     19.59750    460.89400
    -0.86987      5.99924     19.59750    460.89400
    -0.86787      5.99924     19.59750    460.89400
    -0.86587      5.99924     19.59750    460.89400
    -0.86386      5.99924     19.59750    460.89400
    -0.86186      5.99924     19.59750    460.89400
    -0.85986      5.99924     19.59750    460.89400
    -0.85786      5.99924     19.59750    460.89400
    -0.85586      5.99924     19.59750    460.89400
    -0.85385      5.99924     19.59750    460.89400
    -0.85185      5.99924     19.59750    460.89400
    -0.84985      5.99924     19.59750    460.89400
    -0.84785      5.99924     19.59750    460.89400
    -0.84585      5.99924     19.59750    460.89400
    -0.84384      5.99924     19.59750    460.89400
    -0.84184      5.99924     19.59750    460.89400
    -0.83984      5.99924     19.59750    460.89400
    -0.83784      5.99924     19.59750    460.89400
    -0.83584      5.99924     19.59750    460.89400
    -0.83383      5.99924     19.59750    460.89400
    -0.83183      5.99924     19.59750    460.89400
    -0.82983      5.99924     19.59750    460.89400
    -0.82783      5.99924     19.59750    460.89400
    -0.82583      5.99924     19.59750    460.89400
    -0.82382      5.99924     19.59750    460.89400
    -0.82182      5.99924     19.59750    460.89400
    -0.81982      5.99924     19.59750    460.89400
    -0.81782      5.99924     19.59750    460.89400
    -0.81582      5.99924     19.59750    460.89400
    -0.81381      5.99924     19.59750    460.89400
    -0.81181      5.99924     19.59750    460.89400
    -0.80981      5.99924     19.59750    460.89400
    -0.80781      5.99924     19.59750    460.89400
    -0.80581      5.99924     19.59750    460.89400
    -0.80380      5.99924     19.59750    460.89400
    -0.80180      5.99924     19.59750    460.89400
    -0.79980      5.99924     19.59750    460.89400
    -0.79780      5.99924     19.59750    460.89400
    -0.79580      5.99924     19.59750    460.89400
    -0.79379      5.99924     19.59750    460.89400
    -0.79179      5.99924     19.59750    460.89400
    -0.78979      5.99924     19.59750    460.89400
    -0.78779      5.99924     19.59750    460.89400
    -0.78579      5.99924     19.59750    460.89400
    -0.78378      5.99924     19.59750    460.89400
    -0.78178      5.99924     19.59750    460.89400
    -0.77978      5.99924     19.59750    460.89400
    -0.77778      5.99924     19.59750    460.89400
    -0.77578      5.99924     19.59750    460.89400
    -0.77377      5.99924     19.59750    460.89400
    -0.77177      5.99924     19.59750    460.89400
    -0.76977      5.99924     19.59750    460.89400
    -0.76777      5.99924     19.59750    460.89400
    -0.76577      5.99924     19.59750    460.89400
    -0.76376      5.99924     19.59750    460.89400
    -0.76176      5.99924     19.59750    460.89400
    -0.75976      5.99924     19.59750    460.89400
    -0.75776      5.99924     19.59750    460.89400
    -0.75576      5.99924     19.59750    460.89400
    -0.75375      5.99924     19.59750    460.89400
    -0.75175      5.99924     19.59750    460.89400
    -0.74975      5.99924     19.59750    460.89400
    -0.74775      5.99924     19.59750    460.89400
    -0.74575      5.99924     19.59750    460.89400
    -0.74374      5.99924     19.59750    460.89400
    -0.74174      5.99924     19.59750    460.89400
    -0.73974      5.99924     19.59750    460.89400
    -0.73774      5.99924     19.59750    460.89400
    -0.73574      5.99924     19.59750    460.89400
    -0.73373      5.99924     19.59750    460.89400
    -0.73173      5.99924     19.59750    460.89400
    -0.72973      5.99924     19.59750    460.89400
    -0.72773      5.99924     19.59750    460.89400
    -0.72573      5.99924     19.59750    460.89400
    -0.72372      5.99924     19.59750    460.89400
    -0.72172      5.99924     19.59750    460.89400
    -0.71972      5.99924     19.59750    460.89400
    -0.71772      5.99924     19.59750    460.89400
    -0.71572      5.99924     19.59750    460.89400
    -0.71371      5.99924     19.59750    460.89400
    -0.71171      5.99924     19.59750    460.89400
    -0.70971      5.99924     19.59750    460.89400
    -0.70771      5.99924     19.59750    460.89400
    -0.70571      5.99924     19.59750    460.89400
    -0.70370      5.99924     19.59750    460.89400
    -0.70170      5.99924     19.59750    460.89400
    -0.69970      5.99924     19.59750    460.89400
    -0.69770      5.99924     19.59750    460.89400
    -0.69570      5.99924     19.59750    460.89400
    -0.69369      5.99924     19.59750    460.89400
    -0.69169      5.99924     19.59750    460.89400
    -0.68969      5.99924     19.59750    460.89400
    -0.68769      5.99924     19.59750    460.89400
    -0.68569      5.99924     19.59750    460.89400
    -0.68368      5.99924     19.59750    460.89400
    -0.68168      5.99924     19.59750    460.89400
    -0.67968      5.99924     19.59750    460.89400
    -0.67768      5.99924     19.59750    460.89400
    -0.67568      5.99924     19.59750    460.89400
    -0.67367      5.99924     19.59750    460.89400
    -0.67167      5.99924     19.59750    460.89400
    -0.66967      5.99924     19.59750    460.89400
    -0.66767      5.99924     19.59750    460.89400
    -0.66567      5.99924     19.59750    460.89400
    -0.66366      5.99924     19.59750    460.89400
    -0.66166      5.99924     19.59750    460.89400
    -0.65966      5.99924     19.59750    460.89400
    -0.65766      5.99924     19.59750    460.89400
    -0.65566      5.99924     19.59750    460.89400
    -0.65365      5.99924     19.59750    460.89400
    -0.65165      5.99924     19.59750    460.89400
    -0.64965      5.99924     19.59750    460.89400
    -0.64765      5.99924     19.59750    460.89400
    -0.64565      5.99924     19.59750    460.89400
    -0.64364      5.99924     19.59750    460.89400
    -0.64164      5.99924     19.59750    460.89400
    -0.63964      5.99924     19.59750    460.89400
    -0.63764      5.99924     19.59750    460.89400
    -0.63564      5.99924     19.59750    460.89400
    -0.63363      5.99924     19.59750    460.89400
    -0.63163      5.99924     19.59750    460.89400
    -0.62963      5.99924     19.59750    460.89400
    -0.62763      5.99924     19.59750    460.89400
    -0.62563      5.99924     19.59750    460.89400
    -0.62362      5.99924     19.59750    460.89400
    -0.62162      5.99924     19.59750    460.89400
    -0.61962      5.99924     19.59750    460.89400
    -0.61762      5.99924     19.59750    460.89400
    -0.61562      5.99924     19.59750    460.89400
    -0.61361      5.99924     19.59750    460.89400
    -0.61161      5.99924     19.59750    460.89400
    -0.60961      5.99924     19.59750    460.89400
    -0.60761      5.99924     19.59750    460.89400
    -0.60561      5.99924     19.59750    460.89400
    -0.60360      5.99924     19.59750    460.89400
    -0.60160      5.99924     19.59750    460.89400
    -0.59960      5.99924     19.59750    460.89400
    -0.59760      5.99924     19.59750    460.89400
    -0.59560      5.99924     19.59750    460.89400
    -0.59359      5.99924     19.59750    460.89400
    -0.59159      5.99924     19.59750    460.89400
    -0.58959      5.99924     19.59750    460.89400
    -0.58759      5.99924     19.59750    460.89400
    -0.58559      5.99924     19.59750    460.89400
    -0.58358      5.99924     19.59750    460.89400
    -0.58158      5.99924     19.59750    460.89400
    -0.57958      5.99924     19.59750    460.89400
    -0.57758      5.99924     19.59750    460.89400
    -0.57558      5.99924     19.59750    460.89400
    -0.57357      5.99924     19.59750    460.89400
    -0.57157      5.99924     19.59750    460.89400
    -0.56957      5.99924     19.59750    460.89400
    -0.56757      5.99924     19.59750    460.89400
    -0.56557      5.99924     19.59750    460.89400
    -0.56356      5.99924     19.59750    460.89400
    -0.56156      5.99924     19.59750    460.89400
    -0.55956      5.99924     19.59750    460.89400
    -0.55756      5.99924     19.59750    460.89400
    -0.55556      5.99924     19.59750    460.89400
    -0.55355      5.99924     19.59750    460.89400
    -0.55155      5.99924     19.59750    460.89400
    -0.54955      5.99924     19.59750    460.89400
    -0.54755      5.99924     19.59750    460.89400
    -0.54555      5.99924     19.59750    460.89400
    -0.54354      5.99924     19.59750    460.89400
    -0.54154      5.99924     19.59750    460.89400
    -0.53954      5.99924     19.59750    460.89400
    -0.53754      5.99924     19.59750    460.89400
    -0.53554      5.99924     19.59750    460.89400
    -0.53353      5.99924     19.59750    460.89400
    -0.53153      5.99924     19.59750    460.89400
    -0.52953      5.99924     19.59750    460.89400
    -0.52753      5.99924     19.59750    460.89400
    -0.52553      5.99924     19.59750    460.89400
    -0.52352      5.99924     19.59750    460.89400
    -0.52152      5.99924     19.59750    460.89400
    -0.51952      5.99924     19.59750    460.89400
    -0.51752      5.99924     19.59750    460.89400
    -0.51552      5.99924     19.59750    460.89400
    -0.51351      5.99924     19.59750    460.89400
    -0.51151      5.99924     19.59750    460.89400
    -0.50951      5.99924     19.59750    460.89400
    -0.50751      5.99924     19.59750    460.89400
    -0.50551      5.99924     19.59750    460.89400
    -0.50350      5.99924     19.59750    460.89400
    -0.50150      5.99924     19.59750    460.89400
    -0.49950      5.99924     19.59750    460.89400
    -0.49750      5.99924     19.59750    460.89400
    -0.49550      5.99924     19.59750    460.89400
    -0.49349      5.99924     19.59750    460.89400
    -0.49149      5.99924     19.59750    460.89400
    -0.48949      5.99924     19.59750    460.89400
    -0.48749      5.99924     19.59750    460.89400
    -0.48549      5.99924     19.59750    460.89400
    -0.48348      5.99924     19.59750    460.89400
    -0.48148      5.99924     19.59750    460.89400
    -0.47948      5.99924     19.59750    460.89400
    -0.47748      5.99924     19.59750    460.89400
    -0.47548      5.99924     19.59750    460.89400
    -0.47347      5.99924     19.59750    460.89400
    -0.47147      5.99924     19.59750    460.89400
    -0.46947      5.99924     19.59750    460.89400
    -0.46747      5.99924     19.59750    460.89400
    -0.46547      5.99924     19.59750    460.89400
    -0.46346      5.99924     19.59750    460.89400
    -0.46146      5.99924     19.59750    460.89400
    -0.45946      5.99924     19.59750    460.89400
    -0.45746      5.99924     19.59750    460.89400
    -0.45546      5.99924     19.59750    460.89400
    -0.45345      5.99924     19.59750    460.89400
    -0.45145      5.99924     19.59750    460.89400
    -0.44945      5.99924     19.59750    460.89400
    -0.44745      5.99924     19.59750    460.89400
    -0.44545      5.99924     19.59750    460.89400
    -0.44344      5.99924     19.59750    460.89400
    -0.44144      5.99924     19.59750    460.89400
    -0.43944      5.99924     19.59750    460.89400
    -0.43744      5.99924     19.59750    460.89400
    -0.43544      5.99924     19.59750    460.89400
    -0.43343      5.99924     19.59750    460.89400
    -0.43143      5.99924     19.59750    460.89400
    -0.42943      5.99924     19.59750    460.89400
    -0.42743      5.99924     19.59750    460.89400
    -0.42543      5.99924     19.59750    460.89400
    -0.42342      5.99924     19.59750    460.89400
    -0.42142      5.99924     19.59750    460.89400
    -0.41942      5.99924     19.59750    460.89400
    -0.41742      5.99924     19.59750    460.89400
    -0.41542      5.99924     19.59750    460.89400
    -0.41341      5.99924     19.59750    460.89400
    -0.41141      5.99924     19.59750    460.89400
    -0.40941      5.99924     19.59750    460.89400
    -0.40741      5.99924     19.59750    460.89400
    -0.40541      5.99924     19.59750    460.89400
    -0.40340      5.99924     19.59750    460.89400
    -0.40140      5.99924     19.59750    460.89400
    -0.39940      5.99924     19.59750    460.89400
    -0.39740      5.99924     19.59750    460.89400
    -0.39540      5.99924     19.59750    460.89400
    -0.39339      5.99924     19.59750    460.89400
    -0.39139      5.99924     19.59750    460.89400
    -0.38939      5.99924     19.59750    460.89400
    -0.38739      5.99924     19.59750    460.89400
    -0.38539      5.99924     19.59750    460.89400
    -0.38338      5.99924     19.59750    460.89400
    -0.38138      5.99924     19.59750    460.89400
    -0.37938      5.99924     19.59750    460.89400
    -0.37738      5.99924     19.59750    460.89400
    -0.37538      5.99924     19.59750    460.89400
    -0.37337      5.99924     19.59750    460.89400
    -0.37137      5.99924     19.59750    460.89400
    -0.36937      5.99924     19.59750    460.89400
    -0.36737      5.99924     19.59750    460.89400
    -0.36537      5.99924     19.59750    460.89400
    -0.36336      5.99924     19.59750    460.89400
    -0.36136      5.99924     19.59750    460.89400
    -0.35936      5.99924     19.59750    460.89400
    -0.35736      5.99924     19.59750    460.89400
    -0.35536      5.99924     19.59750    460.89400
    -0.35335      5.99924     19.59750    460.89400
    -0.35135      5.99924     19.59750    460.89400
    -0.34935      5.99924     19.59750    460.89400
