t =     0.1750
           x          rho            u            p
    -1.00000      0.00495     -7.47866      0.01101
    -0.99800      0.00498     -7.46913      0.01109
    -0.99600      0.00500     -7.45959      0.01117
    -0.99399      0.00503     -7.45006      0.01126
    -0.99199      0.00506     -7.44053      0.01134
    -0.98999      0.00509     -7.43099      0.01143
    -0.98799      0.00511     -7.42146      0.01152
    -0.98599      0.00514     -7.41193      0.01160
    -0.98398      0.00517     -7.40239      0.01169
    -0.98198      0.00520     -7.39286      0.01178
    -0.97998      0.00522     -7.38333      0.01187
    -0.97798      0.00525     -7.37379      0.01196
    -0.97598      0.00528     -7.36426      0.01205
    -0.97397      0.00531     -7.35473      0.01214
    -0.97197      0.00534     -7.34519      0.01223
    -0.96997      0.00536     -7.33566      0.01232
    -0.96797      0.00539     -7.32613      0.01241
    -0.96597      0.00542     -7.31659      0.01250
    -0.96396      0.00545     -7.30706      0.01260
    -0.96196      0.00548     -7.29753      0.01269
    -0.95996      0.00551     -7.28799      0.01278
    -0.95796      0.00554     -7.27846      0.01288
    -0.95596      0.00557     -7.26893      0.01297
    -0.95395      0.00560     -7.25939      0.01307
    -0.95195      0.00563     -7.24986      0.01317
    -0.94995      0.00566     -7.24033      0.01326
    -0.94795      0.00569     -7.23079      0.01336
    -0.94595      0.00572     -7.22126      0.01346
    -0.94394      0.00575     -7.21173      0.01356
    -0.94194      0.00578     -7.20219      0.01366
    -0.93994      0.00581     -7.19266      0.01376
    -0.93794      0.00584     -7.18313      0.01386
    -0.93594      0.00587     -7.17359      0.01396
    -0.93393      0.00590     -7.16406      0.01407
    -0.93193      0.00593     -7.15453      0.01417
    -0.92993      0.00596     -7.14499      0.01427
    -0.92793      0.00599     -7.13546      0.01438
    -0.92593      0.00602     -7.12593      0.01448
    -0.92392      0.00605     -7.11639      0.01459
    -0.92192      0.00608     -7.10686      0.01469
    -0.91992      0.00612     -7.09733      0.01480
    -0.91792      0.00615     -7.08779      0.01491
    -0.91592      0.00618     -7.07826      0.01502
    -0.91391      0.00621     -7.06873      0.01513
    -0.91191      0.00624     -7.05919      0.01524
    -0.90991      0.00628     -7.04966      0.01535
    -0.90791      0.00631     -7.04013      0.01546
    -0.90591      0.00634     -7.03059      0.01557
    -0.90390      0.00637     -7.02106      0.01568
    -0.90190      0.00641     -7.01153      0.01580
    -0.89990      0.00644     -7.00199      0.01591
    -0.89790      0.00647     -6.99246      0.01602
    -0.89590      0.00651     -6.98293      0.01614
    -0.89389      0.00654     -6.97339      0.01625
    -0.89189      0.00657     -6.96386      0.01637
